Size of the Cell,Manganese to Graphite Ratio,Layers of Filter Paper,3M Ammonium Chloride Saturation (mL),Power (W)
2.0,2.924,1,1.286,16.108
1.8,3.22,2,1.35,24.92599
2.0,3.067,1,1.465,14.876
1.53,2.812,1,1.272,26.388
1.53,2.414,2,1.451,24.266
1.53,3.018,2,1.261,18.84
2.0,2.088,2,1.319,19.19
1.8,2.006,1,0.992,11.853
1.53,2.173,1,1.291,12.322
1.53,2.812,1,1.272,14.227
1.53,2.72,1,0.97,19.638
1.8,2.941,1,1.225,13.479
2.0,2.584,1,1.489,10.378
1.8,2.186,2,1.292,11.233
2.0,2.07,1,1.323,13.772
1.53,2.572,2,0.925,3.0
2.0,2.647,2,1.397,19.195
