Time (s),Voltage (V)
0.0,0.0
0.1029353141784668,0.0
0.20485591888427734,0.0
0.3055458068847656,0.0
0.4069983959197998,0.0
0.5082144737243652,0.0
0.609621524810791,0.0
0.7107658386230469,0.0
0.8132054805755615,0.0
0.9157483577728271,0.0
1.0159780979156494,0.0
1.1168146133422852,0.0
1.2303133010864258,0.0
1.334885835647583,0.0
1.4490983486175537,0.0
1.549893856048584,0.0
1.6511564254760742,0.0
1.752204418182373,0.0
1.8534703254699707,0.0
1.9545519351959229,0.0
2.0560145378112793,0.0
2.156902551651001,0.0
2.2576887607574463,0.0
2.3590774536132812,0.0
2.4622557163238525,0.0
2.562695026397705,0.0
2.663705587387085,0.0
2.7652406692504883,0.0
2.8662333488464355,0.0
2.9673032760620117,0.23
3.068390369415283,0.33
3.1698951721191406,0.48
3.2713358402252197,0.5
3.3724966049194336,0.53
3.473682165145874,0.53
3.5748977661132812,0.53
3.677096128463745,0.48
3.7790403366088867,0.62
3.880300283432007,0.61
3.9817490577697754,0.56
4.082647085189819,0.56
4.183664798736572,0.56
4.284269094467163,0.56
4.385497331619263,0.55
4.486536741256714,0.55
4.588480234146118,0.55
4.702255487442017,0.55
4.80661416053772,0.54
4.907779932022095,0.54
5.010586261749268,0.54
5.120198011398315,0.54
5.221490859985352,0.54
5.32266640663147,0.54
5.424102067947388,0.53
5.525202989578247,0.53
5.629232406616211,0.53
5.729723215103149,0.53
5.8304479122161865,0.53
5.934654712677002,0.53
6.035511493682861,0.52
6.135962963104248,0.52
6.236488103866577,0.52
6.337239503860474,0.52
6.437987804412842,0.52
6.541891813278198,0.52
6.643171548843384,0.52
6.74419903755188,0.52
6.84589695930481,0.52
6.9512779712677,0.52
7.0516815185546875,0.51
7.152857542037964,0.51
7.25389838218689,0.51
7.3547914028167725,0.51
7.455571889877319,0.51
7.556423664093018,0.51
7.6576316356658936,0.51
7.758687973022461,0.51
7.860701084136963,0.51
7.96272349357605,0.51
8.06335973739624,0.51
8.164170265197754,0.51
8.265137434005737,0.51
8.366580486297607,0.51
8.467084884643555,0.5
8.567676305770874,0.5
8.758437156677246,0.5
8.858959913253784,0.5
8.960066795349121,0.5
9.06105637550354,0.5
9.161754131317139,0.5
9.263486862182617,0.5
9.363885641098022,0.5
9.466206789016724,0.5
9.567898035049438,0.5
9.668751001358032,0.5
9.781715393066406,0.5
9.885131120681763,0.5
9.986994504928589,0.5
10.087636232376099,0.5
10.188858270645142,0.5
10.29000449180603,0.49
10.391602277755737,0.49
10.49411916732788,0.49
10.595138311386108,0.49
10.695825815200806,0.49
11.050620794296265,0.49
11.154575824737549,0.49
11.256790161132812,0.49
11.35860276222229,0.49
11.459432363510132,0.49
11.560407638549805,0.49
11.661400079727173,0.49
11.763346672058105,0.49
11.867196559906006,0.49
11.968186855316162,0.49
12.118131399154663,0.49
12.219045400619507,0.49
12.320911645889282,0.49
12.422680854797363,0.49
12.523988962173462,0.49
12.625032901763916,0.49
12.726093769073486,0.49
12.827213525772095,0.49
12.929790496826172,0.49
13.031569480895996,0.49
13.132202863693237,0.49
13.234200239181519,0.49
13.336186408996582,0.48
13.43742823600769,0.48
13.539055824279785,0.49
13.641564846038818,0.48
13.742241382598877,0.48
13.846964836120605,0.48
13.949028968811035,0.48
14.050192594528198,0.48
14.151320219039917,0.48
14.252037525177002,0.48
14.354360342025757,0.48
14.45533800125122,0.48
14.556251525878906,0.48
14.658251762390137,0.48
14.759064435958862,0.48
14.863588333129883,0.48
14.967920064926147,0.48
15.069310903549194,0.48
15.170072555541992,0.48
15.270456790924072,0.48
15.371195554733276,0.48
15.472390413284302,0.48
15.573369979858398,0.48
15.674468755722046,0.48
15.775197982788086,0.48
15.876015186309814,0.48
15.976808547973633,0.48
16.07778835296631,0.48
16.178677320480347,0.48
16.28240394592285,0.48
16.387831926345825,0.48
16.49020743370056,0.48
16.59145760536194,0.48
16.69607400894165,0.48
16.798078298568726,0.48
16.899181842803955,0.47
17.000946521759033,0.47
17.102173805236816,0.47
17.20306634902954,0.47
17.303919792175293,0.48
17.405132293701172,0.47
17.506386518478394,0.47
17.607781410217285,0.47
17.70880150794983,0.47
17.8097186088562,0.47
17.910732984542847,0.47
18.011649131774902,0.47
18.11345076560974,0.47
18.214505672454834,0.47
18.320542573928833,0.47
18.47713589668274,0.47
18.580482244491577,0.47
18.68189001083374,0.47
18.791727304458618,0.47
18.892088413238525,0.47
18.99325656890869,0.47
19.09376859664917,0.47
19.19491457939148,0.47
19.296102046966553,0.47
19.398035526275635,0.47
19.499581813812256,0.47
19.599992752075195,0.47
19.70146679878235,0.47
19.80418348312378,0.47
19.91709876060486,0.47
20.018213510513306,0.47
20.1191143989563,0.47
20.22038459777832,0.47
20.32334804534912,0.47
20.424522876739502,0.47
20.525652647018433,0.47
20.62733030319214,0.47
20.72927474975586,0.47
20.830225706100464,0.47
20.93214249610901,0.47
21.03327751159668,0.47
21.134361505508423,0.47
21.234986066818237,0.47
21.335965156555176,0.47
21.437423944473267,0.47
21.539377450942993,0.47
21.640668392181396,0.46
21.74192523956299,0.46
21.843383312225342,0.46
21.944958925247192,0.46
22.04650855064392,0.47
22.14677095413208,0.46
22.247547388076782,0.46
22.348236560821533,0.46
22.449439525604248,0.46
22.55026626586914,0.46
22.651489734649658,0.46
22.75257706642151,0.46
22.853736400604248,0.46
22.955012559890747,0.46
23.05616807937622,0.46
23.157020807266235,0.46
23.25879740715027,0.46
23.35963535308838,0.46
23.462162256240845,0.46
23.563175201416016,0.46
23.664387941360474,0.46
23.765394926071167,0.46
23.866477966308594,0.46
23.969842433929443,0.46
24.08073902130127,0.46
24.181979179382324,0.46
24.283024311065674,0.46
24.384146451950073,0.46
24.485466957092285,0.46
24.586883306503296,0.46
24.70522403717041,0.46
24.808335542678833,0.46
24.9504976272583,0.46
25.051846027374268,0.46
25.1526460647583,0.46
25.253125190734863,0.46
25.35540270805359,0.46
25.45673441886902,0.46
25.558084726333618,0.46
25.659311532974243,0.46
25.760218143463135,0.46
25.861164569854736,0.46
25.962005615234375,0.46
26.065598726272583,0.46
26.16590452194214,0.46
26.28316879272461,0.46
26.387163162231445,0.46
26.488809823989868,0.46
26.59032440185547,0.46
26.69382071495056,0.46
26.79416036605835,0.46
26.89532494544983,0.46
26.99687910079956,0.46
27.098451137542725,0.46
27.200230360031128,0.46
27.30217671394348,0.46
27.403783321380615,0.45
27.50516986846924,0.46
27.608631134033203,0.45
27.709747791290283,0.45
27.81104826927185,0.45
27.912554025650024,0.45
28.014400482177734,0.45
28.115127086639404,0.45
28.21653175354004,0.45
28.317336320877075,0.45
28.41854190826416,0.45
28.520469427108765,0.45
